Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Mortality,Safety of care,Readmission,Patient experience,Effectiveness of care,Timeliness of care,Efficient use of medical imaging
220001,"HEALTHALLIANCE HOSPITALS, INC",60 HOSPITAL ROAD,LEOMINSTER,MA,1453,WORCESTER,9784662000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3,73,69,79,56,63,70,44
220002,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,2138,MIDDLESEX,6174923500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,78,65,75,46,31,60,74
220008,STURDY MEMORIAL HOSPITAL,211 PARK STREET,ATTLEBORO,MA,2703,BRISTOL,5082225200,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3,61,71,77,42,38,80,73
220010,LAWRENCE GENERAL HOSPITAL,ONE GENERAL STREET,LAWRENCE,MA,1842,ESSEX,9786834000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,65,42,61,70,42,68,23
220011,CAMBRIDGE HEALTH ALLIANCE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,2138,MIDDLESEX,6176652300,Acute Care Hospitals,Government - Local,Yes,Y,3,48,77,64,45,43,70,76
220012,CAPE COD HOSPITAL,88 LEWIS BAY ROAD,HYANNIS,MA,2601,BARNSTABLE,5087711800,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,75,58,70,87,78,68,68
220015,"COOLEY DICKINSON HOSPITAL INC,THE",30 LOCUST STREET,NORTHAMPTON,MA,1060,HAMPSHIRE,4135822000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,41,72,64,60,48,34,47
220016,BAYSTATE FRANKLIN MEDICAL CENTER,164 HIGH STREET,GREENFIELD,MA,1301,FRANKLIN,4137730211,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,76,41,53,68,59,58,80
220017,CARNEY HOSPITAL,2100 DORCHESTER AVENUE,BOSTON,MA,2124,SUFFOLK,6175062000,Acute Care Hospitals,Proprietary,Yes,Y,3,72,62,63,54,55,39,60
220019,HARRINGTON MEMORIAL HOSPITAL-1,100 SOUTH STREET,SOUTHBRIDGE,MA,1550,WORCESTER,5087659771,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,77,46,49,63,35,49,72
